"main_genre","subgenre"
"Classical","Andalusian classical music"
"Classical","Indian classical music"
"Classical","Korean court music"
"Classical","Persian classical music"
"Classical","Ottoman music"
"Classical","Western classical music"
"Classical","Early music"
"Classical","Medieval music"
"Classical","Ars antiqua"
"Classical","Ars nova"
"Classical","Ars subtilior"
"Classical","Renaissance music"
"Classical","Baroque music"
"Classical","Galant music"
"Classical","Classical period"
"Classical","Romantic music"
"Classical","20th and 21st-centuries classical music:"
"Classical","Modernism"
"Classical","Impressionism"
"Classical","Neoclassicism"
"Classical","High modernism"
"Classical","Postmodern music"
"Classical","Experimental music"
"Classical","Contemporary classical music"
"Classical","Minimal music"
"Avant-garde & experimental","Crossover music"
"Avant-garde & experimental","Danger music"
"Avant-garde & experimental","Drone music"
"Avant-garde & experimental","Electroacoustic"
"Avant-garde & experimental","Industrial music"
"Avant-garde & experimental","Instrumental"
"Avant-garde & experimental","Lo-fi"
"Avant-garde & experimental","Musical improvisation"
"Avant-garde & experimental","Musique concrète"
"Avant-garde & experimental","Noise"
"Avant-garde & experimental","Outsider music"
"Avant-garde & experimental","Progressive music"
"Avant-garde & experimental","Psychedelic music"
"Avant-garde & experimental","Underground music"
"Blues","African blues"
"Blues","Blues rock"
"Blues","British blues"
"Blues","Canadian blues"
"Blues","Chicago blues"
"Blues","Classic female blues"
"Blues","Contemporary R&B"
"Blues","Country blues"
"Blues","Delta blues"
"Blues","Desert blues"
"Blues","Detroit blues"
"Blues","Electric blues"
"Blues","Gospel blues"
"Blues","Hill country blues"
"Blues","Hokum blues"
"Blues","Jump blues"
"Blues","Kansas City blues"
"Blues","Louisiana blues"
"Blues","Memphis blues"
"Blues","New Orleans blues"
"Blues","Piedmont blues"
"Blues","Punk blues"
"Blues","Rhythm and blues"
"Blues","Doo-wop"
"Blues","Soul blues"
"Blues","St. Louis blues"
"Blues","Swamp blues"
"Blues","Talking blues"
"Blues","Texas blues"
"Blues","West Coast blues"
"Easy listening","Adult contemporary music"
"Easy listening","Adult standards"
"Easy listening","Background music"
"Easy listening","Elevator music"
"Easy listening","Barococo"
"Easy listening","Beautiful music"
"Easy listening","Chill-out"
"Easy listening","Downtempo"
"Easy listening","Furniture music"
"Easy listening","Light music"
"Easy listening","Lounge music"
"Easy listening","Middle of the road"
"Easy listening","New-age music"
"Easy listening","Soft rock"
"Folk","American folk revival"
"Folk","Americana"
"Folk","Anti-folk"
"Folk","British folk revival"
"Folk","Cajun music"
"Folk","Celtic music"
"Folk","Chalga"
"Folk","Corrido"
"Folk","Creole music"
"Folk","Filk"
"Folk","Folk noir"
"Folk","Folk rock"
"Folk","Folktronica"
"Folk","Celtic rock"
"Folk","Freak folk"
"Folk","Indie folk"
"Folk","Industrial folk"
"Folk","Mariachi"
"Folk","Ranchera"
"Folk","Neofolk"
"Folk","New Weird America"
"Folk","Progressive folk"
"Folk","Protest song"
"Folk","Psychedelic folk"
"Folk","Singer-songwriter"
"Folk","Nueva canción"
"Folk","Skiffle"
"Folk","Sung poetry"
"Folk","Tarantella/Pizzica"
"Folk","Traditional blues verses"
"Jazz","Acid jazz"
"Jazz","Afro-Cuban jazz"
"Jazz","Alt-jazz"
"Jazz","Avant-garde jazz"
"Jazz","Bebop"
"Jazz","Big band"
"Jazz","Boogie-woogie"
"Jazz","Bossa nova"
"Jazz","Brazilian jazz"
"Jazz","British dance band"
"Jazz","Cape jazz"
"Jazz","Chamber jazz"
"Jazz","Continental jazz"
"Jazz","Cool jazz"
"Jazz","Crossover jazz"
"Jazz","Dixieland"
"Jazz","Ethno jazz"
"Jazz","European free jazz"
