"og_genre","mapped_main_genre"
"",""
"-punk","punk"
"2 tone","world"
"2-step garage","electronic"
"2-tone","world"
"a cappella","other"
"absolute music","classical"
"abstract",""
"acid","jazz"
"acid house","electronic"
"acid jazz","jazz"
"acid rock","rock"
"acid techno","electronic"
"acoustic",""
"acoustic music","classical"
"acoustic pop","pop"
"acoustic rock","rock"
"adult alternative","easy listening"
"adult contemporary","pop"
"afro fusion","world"
"afro house","electronic"
"afro jazz tuku music","jazz"
"afro-pop","pop"
"afro-soul","r&b & soul"
"afrobeat","world"
"afropop","pop"
"alt country","jazz"
"alt-country","jazz"
"alt-pop","pop"
"alternative","pop"
"alternative country","pop"
"alternative dance","electronic"
"alternative hip hop","electronic"
"alternative hip-hop","hip hop"
"alternative metal","metal"
"alternative pop","pop"
"alternative r&b","electronic"
"alternative rap","pop"
"alternative rock","rock"
"ambient","electronic"
"ambient house","electronic"
"ambient music","electronic"
"ambient pop","pop"
"ambient techno","electronic"
"american folk music","folk"
"american primitive guitar","folk"
"american rock","world"
"americana","folk"
"anarcho-punk","punk"
"animation",""
"anime","world"
"anison",""
"anti-folk","folk"
"aor",""
"apala","world"
"appalachian",""
"arena rock","rock"
"art pop","pop"
"art punk","punk"
"art rock","rock"
"art-punk","punk"
"astral jazz","jazz"
"australiana",""
"austropop","pop"
"author",""
"avant garde","avant-garde & experimental"
"avant pop","pop"
"avant-folk","folk"
"avant-funk","electronic"
"avant-garde","avant-garde & experimental"
"avant-garde jazz","jazz"
"avant-garde metal","metal"
"avant-jazz","jazz"
"avant-pop","pop"
"avant-punk","punk"
"avant-rock","rock"
"avantgarde",""
"bakersfield sound","r&b & soul"
"balearic","electronic"
"balkan","world"
"ballad","world"
"ballads",""
"baroque pop","pop"
"bassline","electronic"
"bavarian folk","folk"
"beat","rock"
"bebop","jazz"
"bedroom pop","pop"
"big band","jazz"
"big beat","electronic"
"biker metal","metal"
"bitpop","electronic"
"black metal","metal"
"blackened death metal","metal"
"blue-eyed soul","r&b & soul"
"bluegrass",""
"blues","blues / country"
"blues punk","punk"
"blues revival","blues / country"
"blues rock","rock"
"blues-rock","rock"
"bolero","world"
"boogaloo","world"
"boogie","electronic"
"boogie rock","rock"
"boogie woogie","electronic"
"boogie-woogie","jazz"
"boom bap","hip hop"
"bossa nova","world"
"bounce","hip hop"
"brass","world"
"brazilian jazz","jazz"
"brazilian rock","world"
"breakbeat","electronic"
"breakbeat hardcore","electronic"
"brill building","pop"
"brit funk","electronic"
"britfunk",""
"british blues","blues / country"
"british dance band","jazz"
"british folk rock","rock"
"british hip hop","hip hop"
"british skiffle","folk"
"british soul","r&b & soul"
"britpop","world"
"broadway",""
"broadway musical","avant-garde & experimental"
"broadway theatre","other"
"broadway theatre musicals","other"
"broken beat","electronic"
"brumbeat",""
"bubblegum","pop"
"bubblegum pop","pop"
"bush ballad","world"
"c-rock","rock"
"cabaret","rock"
"cajun","folk"
"calypso","world"
"canterbury scene","rock"
"cantopop","world"
"canzone napoletana","pop"
"catalan rumba","world"
"ccm",""
"cello metal","metal"
"cello rock","rock"
"celtic","world"
"celtic folk","folk"
"celtic fusion","world"
"celtic metal","metal"
"celtic punk","punk"
"celtic rock","rock"
"cha-cha-cha","world"
"chamber folk","folk"
"chamber music","jazz"
"chamber pop","pop"
"chamber rock","rock"
"chanson","pop"
"chanson franaise","pop"
"character comedy","rock"
"chicago blues","blues / country"
"chicago soul","r&b & soul"
"chicano rock","rock"
"childrens",""
"childrens fiction",""
"childrens music","classical"
"childrens songs","other"
"chill-out","electronic"
"chillwave","electronic"
"chipmunk soul","r&b & soul"
"choro","world"
"christian","pop"
"christian alternative rock","other"
"christian metal","metal"
"christian music","other"
"christian punk","punk"
"christian rock","other"
"christmas","folk"
"christmas music","folk"
"citation needed",""
"city pop","electronic"
"classic rock","rock"
"classic rock revival","rock"
"classical","classical"
"classical crossover","pop"
"classical music","classical"
"classical rock","classical"
"club","electronic"
"college rock","rock"
"collegiate a cappella","other"
"comedy","rock"
"comedy hip hop","hip hop"
"comedy metal","metal"
"comedy music","rock"
"comedy pop","pop"
"comedy rock","rock"
"conscious rap","hip hop"
"contemporary christian","classical"
"contemporary christian music","other"
"contemporary classical","classical"
"contemporary classical music","classical"
"contemporary folk","folk"
"contemporary folk music","folk"
"contemporary jazz","jazz"
"contemporary r&b","electronic"
"contemporary worship music","other"
"cool jazz","jazz"
"country","blues / country"
"country blues","blues / country"
"country disco","electronic"
"country folk","folk"
"country gospel","other"
"country music","blues / country"
"country pop","pop"
"country rap","hip hop"
"country rock","rock"
"country-folk","folk"
"country-soul","r&b & soul"
"countrypopular",""
"couplet",""
"cowboy music","classical"
"cowpunk","punk"
"criticism",""
"crossover","avant-garde & experimental"
"crossover music","avant-garde & experimental"
"crossover thrash","metal"
"crust punk","punk"
"cueca",""
"cupl","world"
"cyber metal","electronic"
"d-beat","punk"
"dance","jazz"
"dance music","other"
"dance punk","punk"
"dance rock","rock"
"dance-pop","electronic"
"dance-punk","electronic"
"dance-rock","electronic"
"dancehall","world"
"dansband",""
"dansband music","classical"
"dansktop",""
"dark ambient","electronic"
"dark cabaret","rock"
"dark comedy","pop"
"dark wave","electronic"
"darkwave",""
"death metal","metal"
"death-doom","metal"
"deathcore","metal"
"deathgrind","metal"
"deathrock","punk"
"deep house","electronic"
"delta blues","blues / country"
"desert rock","rock"
"detroit techno","electronic"
"deutschpunk","punk"
"disco","electronic"
"disco house","electronic"
"dixieland","jazz"
"dnb","electronic"
"dolewave",""
"doo wop","r&b & soul"
"doo-wop","r&b & soul"
"doom metal","metal"
"downtempo","electronic"
"downtown",""
"dream pop","rock"
"drill and bass","electronic"
"drill n bass","electronic"
"drone","electronic"
"drum and bass","electronic"
"dub","electronic"
"dubstep","electronic"
"early jazz","jazz"
"early years","classical"
"east coast blues","hip hop"
"east coast hip hop","hip hop"
"east coast hip-hop","hip hop"
"easy","easy listening"
"easy listening","other"
"easycore","punk"
"ebm",""
"edm",""
"electric blues","blues / country"
"electro","hip hop"
"electro house","electronic"
"electro swing","electronic"
"electro-funk","electronic"
"electro-industrial","electronic"
"electro-pop","pop"
"electro-rock","rock"
"electroclash","electronic"
"electronic","electronic"
"electronic dance","electronic"
"electronic dance music","electronic"
"electronic music","electronic"
"electronic rock","electronic"
"electronica","electronic"
"electronicore","electronic"
"electropop","electronic"
"electropunk","punk"
"emo","punk"
"emo pop","punk"
"emo-pop","pop"
"english folk music","world"
"english pop","pop"
"enka","world"
"entehno",""
"ethereal music","electronic"
"ethereal wave","electronic"
"ethnic electronica","electronic"
"ethnopop","pop"
"euro disco","electronic"
"eurobeat","electronic"
"eurodance","electronic"
"eurodisco","electronic"
"europop","pop"
"eurotrance","electronic"
"exotica",""
"experimental","avant-garde & experimental"
"experimental hip hop","hip hop"
"experimental pop","pop"
"experimental rock","rock"
"expressionist",""
"extreme metal","metal"
"fantasia",""
"fantasy",""
"field recordings",""
"film","other"
"film and television scores","other"
"film music","other"
"film score","other"
"film scores","other"
"filmi","world"
"finnish rock","rock"
"finnish tango","world"
"first-wave black metal","metal"
"flamenco","world"
"folk","folk"
"folk -rock","folk"
"folk blues","folk"
"folk metal","metal"
"folk music","folk"
"folk pop","pop"
"folk punk","punk"
"folk rock","rock"
"folk-blues","folk"
"folk-jazz","jazz"
"folk-pop","folk"
"folk-rock","folk"
"folktronica","electronic"
"forr","world"
"frat rock","rock"
"freakbeat","rock"
"free funk","jazz"
"free improvisation","jazz"
"free jazz","jazz"
"freestyle","electronic"
"french chanson","pop"
"french hip hop","hip hop"
"french hip-hop","world"
"french house","electronic"
"french music","pop"
"french pop","pop"
"french popular music","pop"
"french rock","rock"
"french variety songs","pop"
"funk","electronic"
